,farebox_per_day
2010-01-01,4968817
2010-02-01,3392416
2010-03-01,3011750
2010-04-01,5502545
2010-05-01,5561218
2010-06-01,5503949
2010-07-01,5216891
2010-08-01,4490108
2010-09-01,5827246
2010-10-01,5122617
2010-11-01,5165797
2010-12-01,4985892
2011-01-01,4661317
2011-02-01,5474959
2011-03-01,5717207
2011-04-01,5456034
2011-05-01,5730613
2011-06-01,5743238
2011-07-01,5350809
2011-08-01,4851734
2011-09-01,5687581
2011-10-01,5790312
2011-11-01,5572296
2011-12-01,5493999
2012-01-01,5220456
2012-02-01,5655691
2012-03-01,5860835
2012-04-01,5861876
2012-05-01,5838542
2012-06-01,5831841
2012-07-01,5292247
2012-08-01,5357572
2012-09-01,6512203
2012-10-01,6346508
2012-11-01,6094937
2012-12-01,6326604
2013-01-01,6045087
2013-02-01,6356651
2013-03-01,6646912
2013-04-01,6714891
2013-05-01,6744373
2013-06-01,6555608
2013-07-01,5983709
2013-08-01,5553989
2013-09-01,6493533
2013-10-01,6648711
2013-11-01,6470910
2013-12-01,6176199
2014-01-01,5790713
2014-02-01,6122310
2014-03-01,6612023
2014-04-01,6613192
2014-05-01,6718530
2014-06-01,6490355
2014-07-01,5832040
2014-08-01,5709153
2014-09-01,6284615
2014-10-01,6432093
2014-11-01,6113253
2014-12-01,5868025
2015-01-01,5442278
2015-02-01,6097785
2015-03-01,6076181
2015-04-01,6226205
2015-05-01,6239552
2015-06-01,6014938
2015-07-01,5392570
2015-08-01,5200177
2015-09-01,5520038
2015-10-01,5856687
2015-11-01,5502861
2015-12-01,5425880
2016-01-01,4886897
2016-02-01,5427875
2016-03-01,5614089
2016-04-01,5721501
2016-05-01,5654653
2016-06-01,5564246
2016-07-01,4924633
2016-08-01,4722586
2016-09-01,5167170
2016-10-01,5196275
2016-11-01,4980423
2016-12-01,4869413
2017-01-01,4314880
2017-02-01,4531822
2017-03-01,4770322
2017-04-01,4865420
2017-05-01,4848494
2017-06-01,4751867
2017-07-01,4037177
2017-08-01,3985437
2017-09-01,4422289
2017-10-01,4681421
2017-11-01,4517934
2017-12-01,4407843
2018-01-01,3863024
2018-02-01,4138935
2018-03-01,4293867
2018-04-01,4486177
2018-05-01,4431220
2018-06-01,4283693
2018-07-01,3735128
2018-08-01,3742832
2018-09-01,3995849
2018-10-01,4267309
2018-11-01,4035397
2018-12-01,3852809
2019-01-01,3413625
2019-02-01,4105322
2019-03-01,4289036
2019-04-01,4215927
2019-05-01,4214808
2019-06-01,4042788
2019-07-01,3501565
2019-08-01,3385162
2019-09-01,3814692
2019-10-01,4006128
2019-11-01,3872769
2019-12-01,3806944
2020-01-01,3403736
2020-03-01,4130380
2020-04-01,4123320
2020-05-01,4114256
2020-06-01,3953961
2020-07-01,3392734
2020-08-01,3287707
2020-09-01,3704876
2020-10-01,3903425
2020-11-01,3743085
2020-12-01,3654978
2021-01-01,3233683
2021-02-01,3758240
2021-03-01,3941796
2021-04-01,3952901
2021-05-01,3941653
2021-06-01,3784582
2021-07-01,3217854
2021-08-01,3115955
2021-09-01,3529725
2021-10-01,3730230
2021-11-01,3562471
2021-12-01,3468238
2022-01-01,3041969
2022-02-01,3561501
2022-03-01,3744986
2022-04-01,3761086
2022-05-01,3749237
2022-06-01,3593053
2022-07-01,3024812
2022-08-01,2923773
2022-09-01,3336609
2022-10-01,3537651
2022-11-01,3367852
2022-12-01,3271934
2023-01-01,2844298
2023-03-01,3545914
2023-04-01,3563388
2023-05-01,3551373
2023-06-01,3395433
2023-07-01,2826777
2023-08-01,2725974
2023-09-01,3138552
2023-10-01,3339743
2023-11-01,3169383
2023-12-01,3073002
2024-01-01,2644990
2024-02-01,3162760
2024-03-01,3346220
2024-04-01,3364072
2024-05-01,3352012
2024-06-01,3196138
2024-07-01,2627368
2024-08-01,2526630
2024-09-01,2939138
2024-10-01,3140369
2024-11-01,2969855
2024-12-01,2873346
2025-01-01,2445231
2025-02-01,2962897
2025-03-01,3146355
